country;model_name;horizon;feature;importance
CZ;ILI;3;lag_temp_max_3;0,08002812302378891
CZ;ILI;3;lag_temp_min_3;0,035949894395375874
CZ;ILI;3;lag_value_4;0,06243405908199799
CZ;ILI;3;lag_temp_max_4;0,06509078838162272
CZ;ILI;3;lag_temp_min_4;0,031350637269500464
CZ;ILI;3;week_cos;0,04610277425332368
CZ;ILI;4;relative_humidity_2m;0,023725208287683618
CZ;ILI;4;temperature_2m_max;0,10913597172999343
CZ;ILI;4;temperature_2m_min;0,06359060311986428
CZ;ILI;4;lag_value_1;0,150671271979478
CZ;ILI;4;lag_humidity_1;0,025839098696601115
CZ;ILI;4;lag_temp_max_1;0,10440330594896353
CZ;ILI;4;lag_temp_max_2;0,11805720001974972
CZ;ILI;4;lag_value_3;0,06768335063441364
CZ;ILI;4;lag_temp_max_3;0,07872953427380769
CZ;ILI;4;lag_temp_min_3;0,03871336688154293
CZ;ILI;4;lag_value_4;0,0746006548220929
CZ;ILI;4;lag_temp_max_4;0,05296530752212026
CZ;ILI;4;lag_temp_min_4;0,03371469678227401
CZ;ILI;4;week_cos;0,058170429301414944
DE;ARI;1;relative_humidity_2m;0,01670359850388946
DE;ARI;1;temperature_2m_max;0,03189257989613873
DE;ARI;1;temperature_2m_min;0,04688433155214914
DE;ARI;1;year;0,013517081556245808
DE;ARI;1;lag_value_1;0,3276111201593591
DE;ARI;1;lag_humidity_1;0,01419862005905262
DE;ARI;1;lag_temp_max_1;0,038361003182231665
DE;ARI;1;lag_value_2;0,1688646102794378
DE;ARI;1;lag_value_3;0,09843285701791056
DE;ARI;1;lag_value_4;0,050130553588151
DE;ARI;1;month_cos;0,07031924002884854
DE;ARI;1;week_sin;0,02082742174117487
DE;ARI;1;week_cos;0,10225698243541076
DE;ARI;2;relative_humidity_2m;0,021730199905421004
DE;ARI;2;temperature_2m_max;0,04428829417949477
DE;ARI;2;temperature_2m_min;0,06435971493649871
DE;ARI;2;year;0,02378244424211512
DE;ARI;2;lag_value_1;0,2940980211943754
DE;ARI;2;lag_humidity_1;0,026695566966274654
DE;ARI;2;lag_temp_max_1;0,041732669243466754
DE;ARI;2;lag_value_2;0,1256006814091881
DE;ARI;2;lag_value_3;0,05596228285320059
DE;ARI;2;lag_value_4;0,040796463154840965
DE;ARI;2;month_cos;0,10724022181877173
DE;ARI;2;week_sin;0,036375585821490176
DE;ARI;2;week_cos;0,11733785427486208
DE;ARI;3;relative_humidity_2m;0,04190875157260109
DE;ARI;3;temperature_2m_max;0,05476066985803718
DE;ARI;3;temperature_2m_min;0,04910410176080681
DE;ARI;3;year;0,037101345497630216
DE;ARI;3;lag_value_1;0,23024785757084745
DE;ARI;3;lag_humidity_1;0,029606864601261513
DE;ARI;3;lag_temp_max_1;0,046155575904104434
DE;ARI;3;lag_value_2;0,10482637749411311
DE;ARI;3;lag_value_3;0,05676988360820014
DE;ARI;3;lag_value_4;0,04049856522462471
DE;ARI;3;month_cos;0,1584759198178975
DE;ARI;3;week_sin;0,052706886320284474
DE;ARI;3;week_cos;0,09783720076959142
DE;ARI;4;relative_humidity_2m;0,052831941968244214
DE;ARI;4;temperature_2m_max;0,056085522654580805
DE;ARI;4;temperature_2m_min;0,04685156469174751
DE;ARI;4;year;0,04672431257986188
DE;ARI;4;lag_value_1;0,1538014653181975
DE;ARI;4;lag_humidity_1;0,04648954082583201
DE;ARI;4;lag_temp_max_1;0,03818092700373139
DE;ARI;4;lag_value_2;0,07967116186910868
DE;ARI;4;lag_value_3;0,05298584454605513
DE;ARI;4;lag_value_4;0,03854495500342967
DE;ARI;4;month_cos;0,18553331870598766
DE;ARI;4;week_sin;0,08104930590336944
DE;ARI;4;week_cos;0,12125013892985412
DK;ILI;1;relative_humidity_2m;0,022076554627678307
DK;ILI;1;temperature_2m_max;0,01278831219273547
DK;ILI;1;temperature_2m_min;0,01383047622781205
DK;ILI;1;year;0,01891184532324701
DK;ILI;1;lag_value_1;0,3018072833462706
DK;ILI;1;lag_humidity_1;0,029491745252009417
DK;ILI;1;lag_temp_max_1;0,012672806500586966
DK;ILI;1;lag_temp_min_1;0,028078608790915394
DK;ILI;1;lag_value_2;0,17296599313403463
DK;ILI;1;lag_humidity_2;0,013946714968961554
DK;ILI;1;lag_temp_max_2;0,021993234838129937
DK;ILI;1;lag_temp_min_2;0,02836636378824543
DK;ILI;1;lag_value_3;0,11800230703004903
DK;ILI;1;lag_temp_max_3;0,02692622979064713
DK;ILI;1;lag_temp_min_3;0,024886599079180626
DK;ILI;1;lag_value_4;0,09908083746134252
DK;ILI;1;lag_temp_min_4;0,021259599402231454
